review_text,rating
2년만에 재구매했는데 업체가 바뀐건지 질감 등 모든면에서 너프 되었네요 가격 생각하면 아직 괜찮지만 가격 올리더라도 원래 퀄리티로 돌아갔으면 좋겠어요,4
"키 175에 몸무게 71kg인 체형인데, 이 검정색 와이드팬츠는 허리 밴딩이라 착용감이 정말 편했습니다. 밴딩이 너무 조이지도 않고, 흘러내리지도 않아 활동하기 좋았어요. 통이 넓지만 과하지 않아서 다리가 곧아 보이고, 전체적으로 비율이 좋아 보이는 효과가 있었습니다. 가벼운 원단이라 움직임이 자유롭고, 오래 입어도 답답하지 않았습니다. 티셔츠나 맨투맨, 셔츠 모두 잘 어울려서 데일리룩이나 외출복으로 활용도가 높아요. 여름엔 시원하게, 봄가을엔 가볍게 입기 좋은 활용도 높은 팬츠입니다.",5
여름용보다 약간 큰 느낌인듯....재질도 좀 다르네요 면보다는 빤닥빤닥한게 조금 저렴해보이는감은 있는데...가격이 싸니...,4
탄탄한 재질에 가볍게 떨어지는 핏이 예쁩니다. 마감도 잘 되어있어서 편하게 입을 수 있을 거 같아요,5
바지.가성비 좋습니다 세미 와이드 치고는 좀 더 와이드한거 같아요,5
좀 얇은감은 있지만 기장감도 좋고 신축성도 좋아서 편안하게 입고 다닐 수 있을거 같아요 추천합니다.,5
그렇게 많이 안 두껍고 허리도 밴딩이여서 편해요 라지 사이즈라서 길이가 안 맞으면 어떡하나 걱정했는데 길이 딱 맞아서 좋아요,5
3번째 구매할정도로 편하고 또 편해요ㅎㅎ 겨울빼고 봄여름가을 다 입을수있습니다,5
완전 필수템이네요. 이러한 아이템은 어떠한 스타일에도 다 잘 어울릴 것 같아요. 즐감도 좋고 겨울 이것으로 나면 좋겠습니다.,4
3년 전에 사서 잘 입고 재구매했는데 그때 샀던 옷보다 원단이 얇네요 ㅠ 전 기모는 답답해서 못 입거든요 그때 샀던 옷은 한겨울도 가능했는데 옷이 더 얇아져서 이번 바지는 겨울에 입을수 있을지?? 그리고 같은 블랙이라도 묘하게 색상이 달라요 뒤쪽이 옛날옷 앞쪽이 이번에 산것..예전 옷은 너무 까매서 네이비 상의 입었을때 매치가 잘 안되긴 했어요 이번 원단은 너무 진하지 않아 옷 받쳐입기는 좋겠다 싶으면서도 뭔가 색이 바랜 느낌이라서 좀 찜찜합니다 올해 생산 된 옷인데 괜찮겠죠..,4
바지류는 후러아만 이용하는데 이번 좋은 기회에 후러아 바지를 또 입을 수 있게 되어서 감사드립니다. 몇년 전에 같은 제품을 구매했었는데 그때보다 원단도 튼튼해지고 핏도 세미와이드 답게 조금 더 넓어진 거 같습니다. 얇기는 생각보다 얇아서 한여름 제외하고는 4계절 입을 수 있는 얇기입니다. 허리 밴딩부분도 막 엄청 타이트 하지는 않지만 넣입 하시려는 분들 넣입해도 잘 빠지지는 않을 정도입니다. 직장인분들 학생분들 모두 데일리하게 입기 좋은 슬랙스로 가성비 있는 데일리 슬랙스 찾으시는 분들은 구매하셔도 후회 절대 없으실 거에요~,5
"후기가 많고 좋길래 저도 기대하면서 샀는데 저한테는 단점만 부각되는 바지였어요 엉덩이 살 많은 사람들, 밑위 길이 짧은 거 불편해 하는 사람들 다시 한 번 고민해보고 구매하시길",3
